"Rango";"Nombre";"ID";"Nivel";"HP";"EXP";"Boss"
"46-50";"Faust";"9500308";"50";"9800";"410";"SI"
"46-50";"Faust";"9300189";"50";"9800";"410";"SI"
"46-50";"Faust";"5220002";"50";"9800";"410";"SI"
"46-50";"Faust";"9500341";"50";"9800";"410";"SI"
"46-50";"Giant Centipede";"5220004";"50";"15000";"425";"SI"
"46-50";"Snowman2";"9400709";"50";"162000";"543";"SI"
"46-50";"Frankenroid";"9500335";"50";"30000";"675";"SI"
"46-50";"Leviathan";"9500333";"50";"30000";"675";"SI"
"46-50";"Alishar";"9500330";"50";"32000";"675";"SI"
"46-50";"Giant Centipede";"9600010";"50";"18000";"1080";"SI"
"46-50";"Giant Centipede";"9300188";"50";"18000";"1080";"SI"
"46-50";"Crimson Balrog";"9500171";"50";"18620";"1267";"SI"
"46-50";"Slot Machine";"9400114";"50";"50000";"1500";"NO"
"46-50";"Alishar";"9500172";"50";"20230";"1590";"SI"
"46-50";"Giant Centipede";"9500177";"50";"20692";"1780";"SI"
"46-50";"Olivia";"9400642";"50";"210000";"6950";"SI"
"46-50";"Holiday Super Sock";"9600065";"50";"20000000";"10000";"NO"
"51-55";"Jr. Balrog";"9303010";"51";"5000";"0";"NO"
"51-55";"Lord Pirate";"9303011";"51";"5000";"0";"NO"
"51-55";"Papa Pixie";"9303012";"51";"5000";"0";"NO"
"51-55";"King Sage Cat";"9303009";"51";"5000";"0";"NO"
"51-55";"Buffy";"9300315";"51";"3500";"1";"SI"
"51-55";"Stone Bug";"5250001";"51";"3600";"142";"NO"
"51-55";"Firebomb";"5100002";"51";"3600";"142";"NO"
"51-55";"Wooden Target Dummy";"5120504";"51";"3200";"142";"NO"
"51-55";"Jr. Cellion in Tower of Goddess";"9300051";"51";"6400";"305";"NO"
"51-55";"Jr. Grupin in Tower of Goddess";"9300053";"51";"6400";"305";"NO"
"51-55";"Jr. Lioner in Tower of Goddess";"9300052";"51";"6400";"305";"NO"
"51-55";"Luster Pixie";"5120000";"52";"4000";"155";"NO"
"51-55";"Croco";"5130103";"52";"3800";"170";"NO"
"51-55";"Croko";"9300235";"52";"3800";"170";"NO"
"51-55";"Dark Fission";"9420529";"52";"3700";"172";"NO"
"51-55";"Soul Teddy";"9300316";"53";"4500";"2";"SI"
"51-55";"Tippo Blue";"9420505";"53";"3200";"140";"NO"
"51-55";"Lioner";"5120002";"53";"4200";"160";"NO"
"51-55";"Grupin";"5120003";"53";"4200";"160";"NO"
"51-55";"Cellion";"5120001";"53";"4200";"160";"NO"
"51-55";"Bellflower Root";"5120501";"53";"4200";"160";"NO"
"51-55";"Hogul";"5100005";"53";"4500";"165";"NO"
"51-55";"Star Pixie in Tower of Goddess(Summon Boss)";"9300055";"53";"6300";"320";"NO"
"51-55";"Star Pixie in Tower of Goddess";"9300046";"53";"6300";"320";"NO"
"51-55";"Shadow Knight";"9300351";"54";"44000";"0";"SI"
"51-55";"Mu Gong's Shadow";"9300350";"54";"22000";"0";"SI"
"51-55";"Mimic";"9300004";"54";"4100";"165";"NO"
"51-55";"Roid ";"9400240";"54";"4400";"168";"NO"
"51-55";"Sr. Bellflower Root";"5120502";"54";"4400";"168";"NO"
"51-55";"Roid ";"5110301";"54";"4400";"168";"NO"
"51-55";"Roid ";"9400249";"54";"4400";"168";"NO"
"51-55";"Cellion in Tower of Goddess";"9300057";"54";"4400";"170";"NO"
"51-55";"Cellion in Tower of Goddess";"9300040";"54";"4400";"170";"NO"
"51-55";"Lunar Pixie in Tower of Goddess";"9300045";"54";"6600";"325";"NO"
"51-55";"Lunar Pixie in Tower of Goddess(Summon Boss)";"9300054";"54";"6600";"335";"NO"
"51-55";"MT-09";"5120100";"54";"13500";"980";"SI"
"51-55";"Willi";"9300162";"55";"95000";"0";"NO"
"51-55";"King Clang";"5220001";"55";"4000";"0";"SI"
"51-55";"Malady";"9400200";"55";"4200";"1";"NO"
"51-55";"Lazy Buffy";"9300317";"55";"5500";"3";"SI"
"51-55";"Jr. Balrog";"6400008";"55";"30000";"10";"SI"
"51-55";"Crimson Balrog";"6400009";"55";"28000";"10";"SI"
"51-55";"Stone Golem";"9400243";"55";"4000";"170";"NO"
"51-55";"Stone Golem (PC)";"9200009";"55";"4000";"170";"NO"
"51-55";"Stone Golem";"5130101";"55";"4000";"170";"NO"
"51-55";"Hector";"5130104";"55";"4600";"170";"NO"
"51-55";"Stone Golem (JP)";"9400212";"55";"4000";"170";"NO"
"51-55";"Mossy Mushroom";"5250000";"55";"4400";"175";"NO"
"51-55";"Malady";"5300100";"55";"4000";"175";"NO"
"51-55";"The Book Ghost";"5120506";"55";"4500";"175";"NO"
"51-55";"Red Slime";"9400204";"55";"6000";"240";"NO"
"51-55";"Papulatus";"9500331";"55";"46000";"850";"SI"
"51-55";"Lord Pirate";"9500334";"55";"48000";"925";"SI"
"51-55";"King Clang";"5220000";"55";"25000";"1210";"SI"
"51-55";"King Clang";"9500342";"55";"25000";"1210";"SI"
"51-55";"King Clang";"9500309";"55";"25000";"1210";"SI"
"51-55";"King Clang";"9300190";"55";"25000";"1210";"SI"
"56-60";"Balrog";"8830009";"56";"2233800";"0";"SI"
"56-60";"Transforming Dark Jr. Yeti";"5130106";"56";"4400";"0";"NO"
"56-60";"Balrog";"8830002";"56";"3060000";"0";"SI"
"56-60";"Lord Pirate's Jar";"9300108";"56";"4300";"92";"NO"
"56-60";"Dark Jr. Yeti (JP)";"9400213";"56";"4400";"180";"NO"
"56-60";"Dark Jr. Yeti";"5130105";"56";"4400";"180";"NO"
"56-60";"Grizzly";"9300244";"56";"4800";"185";"NO"
"56-60";"Three-Tailed Fox";"9500155";"56";"4500";"185";"NO"
"56-60";"Samiho";"5100004";"56";"4500";"185";"NO"
"56-60";"Samiho";"9300243";"56";"4500";"185";"NO"
"56-60";"Grizzly";"5120500";"56";"4800";"185";"NO"
"56-60";"Oly Oly";"9420530";"56";"4600";"185";"NO"
"56-60";"Luster Pixie in Tower of Goddess";"9300047";"56";"7200";"355";"NO"
"56-60";"Luster Pixie in Tower of Goddess(Summon Boss)";"9300056";"56";"7200";"355";"NO"
"56-60";"Luster Pixie";"9300236";"56";"7200";"355";"NO"
"56-60";"Alishar";"9300012";"56";"125000";"4800";"SI"
"56-60";"Alishar";"9300192";"56";"125000";"4800";"SI"
"56-60";"Alishar";"9500343";"56";"125000";"4800";"SI"
"56-60";"Shade";"5090000";"56";"30000";"5600";"SI"
"56-60";"Master Soul Teddy";"9300318";"57";"6500";"4";"SI"
"56-60";"Lord Pirate's Ginseng Jar";"9300109";"57";"4500";"95";"NO"
"56-60";"Skeleton Soldier";"5150001";"57";"4600";"190";"NO"
"56-60";"Miner Zombie";"5130108";"57";"4500";"190";"NO"
"56-60";"Miner Zombie (JP)";"9400209";"57";"4500";"190";"NO"
"56-60";"Coolie Zombie";"5130107";"57";"4500";"190";"NO"
"56-60";"Coolie Zombie (JP)";"9400210";"57";"4700";"190";"NO"
"56-60";"Primitive Boar";"5250002";"57";"4500";"200";"NO"
"56-60";"Cellion in Tower of Goddess";"9300041";"57";"7300";"370";"NO"
"56-60";"Grupin in Tower of Goddess";"9300042";"57";"7300";"370";"NO"
"56-60";"Lioner in Tower of Goddess";"9300043";"57";"7300";"370";"NO"
"56-60";"Tic (Hard)";"9400316";"58";"4000";"0";"NO"
"56-60";"Zoo White Fang";"9500202";"58";"10000";"10";"SI"
"56-60";"Lord Pirate's Enraged Mr. Alli";"9300114";"58";"2700";"68";"NO"
"56-60";"Lord Pirate's Bellflower";"9300110";"58";"4700";"98";"NO"
"56-60";"Dark Stone Golem";"5130102";"58";"4800";"200";"NO"
"56-60";"Dark Stone Golem (JP)";"9400211";"58";"4800";"200";"NO"
"56-60";"Pac Pinky";"9420509";"58";"5000";"200";"NO"
"56-60";"Experimental Neo Huroid";"9300154";"58";"5600";"205";"NO"
"56-60";"Reindeer";"5120505";"58";"5600";"205";"NO"
"56-60";"Neo Huroid";"5110302";"58";"5600";"205";"NO"
"56-60";"White Fang";"9200019";"58";"5800";"220";"NO"
"56-60";"White Fang";"5140000";"58";"5800";"220";"NO"
"56-60";"Pyramid Mummydog";"9700024";"59";"1";"0";"NO"
"56-60";"Mummy";"9700026";"59";"1";"0";"NO"
"56-60";"Scaredy Scarlion";"9420550";"59";"5800";"0";"NO"
"56-60";"Pyramid Skeleton";"9700025";"59";"1";"0";"NO"
"56-60";"Pharaoh Snake";"9700027";"59";"1";"0";"NO"
"56-60";"Ratatula";"9420545";"59";"6200";"0";"NO"
"56-60";"Anubis";"9700028";"59";"1";"0";"NO"
"56-60";"Klock";"9300319";"59";"7500";"5";"SI"
"56-60";"Lord Pirate's Enraged Kru";"9300115";"59";"2820";"70";"NO"
"56-60";"Lord Pirate's Ancient Bellflower";"9300111";"59";"4900";"100";"NO"
"56-60";"Lord Pirate's 100yrOld Bellflower";"9300112";"59";"4100";"100";"NO"
"56-60";"Lord Pirate's Enraged Ginseng Jar";"9300126";"59";"9500";"105";"NO"
"56-60";"Lord Pirate's Mr. Alli";"9300123";"59";"7350";"150";"NO"
"56-60";"Lord Pirate's Furious Mr. Alli";"9300120";"59";"8820";"180";"NO"
"56-60";"Ratatula";"9420532";"59";"6200";"210";"NO"
"56-60";"Mixed Golem";"5150000";"59";"6000";"210";"NO"
"56-60";"Mixed Golem";"9500123";"59";"6000";"210";"NO"
"56-60";"Mixed Golem";"9400244";"59";"6000";"210";"NO"
"56-60";"Scaredy Scarlion";"9420531";"59";"5800";"220";"NO"
"56-60";"Ghost Pixie";"9300237";"59";"9000";"420";"NO"
"56-60";"Ghost Pixie";"9300038";"59";"9000";"420";"NO"
"56-60";"Nependeath in Tower of Goddess";"9300048";"59";"10000";"430";"NO"
"56-60";"Royal Nependeath in Tower of Goddess";"9300049";"59";"10000";"430";"NO"
"56-60";"Timer";"9500344";"59";"21000";"650";"SI"
"56-60";"Timer";"9300193";"59";"21000";"650";"SI"
"56-60";"Timer";"9500310";"59";"21000";"650";"SI"
"56-60";"Timer";"5220003";"59";"21000";"650";"SI"
"56-60";"Balrog";"8830008";"60";"2059200";"0";"SI"
"56-60";"Blin";"6130201";"60";"3500";"0";"NO"
"56-60";"Transforming Doll Machine  (Before)";"9300256";"60";"1500";"0";"NO"
"56-60";"해군 이등병 유령";"9700030";"60";"60000";"0";"SI"
"56-60";"UFO Catcher";"9410012";"60";"1500";"0";"NO"
"56-60";"Tac (Hard)";"9400317";"60";"4500";"0";"NO"
"56-60";"Balrog";"8830001";"60";"2640000";"0";"SI"
"56-60";"Witch Bear";"9300372";"60";"25000";"0";"SI"
"56-60";"Lord Pirate's Enraged Captain";"9300116";"60";"2940";"72";"NO"
"56-60";"Lord Pirate's 100yrOld Ancient Bellflower";"9300113";"60";"4300";"104";"NO"
"56-60";"Lord Pirate's Kru";"9300124";"60";"7800";"156";"NO"
"56-60";"Lord Pirate's Furious Kru";"9300121";"60";"9360";"187";"NO"
"56-60";"Chocolate Cake";"9400605";"60";"4400";"200";"NO"
"56-60";"Pepe";"6130103";"60";"7200";"220";"NO"
"56-60";"Selkie Jr.";"9420511";"60";"5500";"220";"NO"
"56-60";"Red Drake";"6130100";"60";"6000";"220";"NO"
"56-60";"Red Drake";"9500125";"60";"6000";"220";"NO"
"56-60";"Nightghost";"9400003";"60";"7100";"220";"NO"
"56-60";"Water Goblin";"9400012";"60";"7100";"220";"NO"
"56-60";"Ice Golem";"9500150";"60";"6900";"221";"NO"
"56-60";"Panda";"9300245";"60";"6500";"225";"NO"
"56-60";"Panda";"6130203";"60";"6500";"225";"NO"
"56-60";"Geist Balrog";"9400572";"60";"7000";"230";"SI"
"56-60";"Python";"9420002";"60";"6000";"230";"NO"
"56-60";"Transforming Doll Machine  (After)";"9300257";"60";"6000";"280";"NO"
"56-60";"Doll Vending Machine";"9410013";"60";"6000";"280";"NO"
"56-60";"Morphed Blin";"6130202";"60";"7000";"330";"NO"
"56-60";"Voodoo";"9400561";"60";"6800";"335";"NO"
"56-60";"Hoodoo";"9400562";"60";"6800";"335";"NO"
"56-60";"Separated Pepe";"9500142";"60";"7200";"420";"NO"
"56-60";"Separated Pepe";"9200022";"60";"7200";"420";"NO"
"56-60";"Separated Pepe";"6130102";"60";"7200";"420";"NO"
"56-60";"Flying Boogie";"9300050";"60";"25000";"515";"NO"
"56-60";"Mushmom";"6130101";"60";"20000";"1200";"SI"
"56-60";"Mushmom";"9500345";"60";"20000";"1200";"SI"
"56-60";"Mushmom";"9500124";"60";"20000";"1200";"SI"
"56-60";"Mushmom";"9300191";"60";"20000";"1200";"SI"
"56-60";"Blue Mushmom";"9500176";"60";"50400";"2260";"SI"
"56-60";"Angry Lord Pirate";"9500175";"60";"54600";"2430";"SI"
"56-60";"Big Puff Daddy";"9400569";"60";"50000000";"5200";"SI"
"56-60";"Big Puff Daddy";"9400608";"60";"50000000";"5200";"SI"
"56-60";"Lord Pirate";"9300119";"60";"420000";"7200";"SI"
"56-60";"Lord Pirate";"9300198";"60";"420000";"7200";"SI"
"56-60";"Lord Pirate";"9500349";"60";"420000";"7200";"SI"
"56-60";"Event Horntail's Left Head";"9400630";"60";"1000000";"10000";"SI"
"56-60";"Event Horntail's Right Head";"9400631";"60";"1000000";"10000";"SI"
"56-60";"Snowman3";"9400710";"60";"324000";"350000";"SI"
"61-65";"해군 일등병 유령";"9700031";"61";"80000";"0";"SI"
"61-65";"해군 상병 유령";"9700032";"61";"100000";"0";"SI"
"61-65";"해군 하사 유령";"9700034";"61";"150000";"0";"SI"
"61-65";"해군 병장 유령";"9700033";"61";"130000";"0";"SI"
"61-65";"Buffoon";"9300320";"61";"8500";"6";"SI"
"61-65";"Buffy";"6130200";"61";"7400";"230";"NO"
"61-65";"Rodeo";"9420533";"61";"6000";"235";"NO"
"61-65";"일등 항해사";"9700035";"62";"700000";"0";"SI"
"61-65";"Jr. Gargoyle";"9300035";"62";"15000";"0";"NO"
"61-65";"Toe (Hard)";"9400318";"62";"4800";"0";"NO"
"61-65";"유령선 함장";"9700037";"62";"4000000";"0";"SI"
"61-65";"Obstacle Mutae";"9300153";"62";"7500";"0";"NO"
"61-65";"Wild Cargo";"9400201";"62";"5500";"1";"NO"
"61-65";"Lord Pirate's Captain";"9300125";"62";"8700";"165";"NO"
"61-65";"Lord Pirate's Furious Captain";"9300122";"62";"10440";"198";"NO"
"61-65";"Poisoned Lord Tree";"9300172";"62";"6100";"235";"NO"
"61-65";"Tree Road";"9300246";"62";"3500";"240";"NO"
"61-65";"Wild Kargo (PC)";"9200014";"62";"5500";"240";"NO"
"61-65";"Poison Golem Level 2";"9300177";"62";"3500";"240";"NO"
"61-65";"Wild Kargo";"6230100";"62";"5500";"240";"NO"
"61-65";"Peach Monkey";"6130207";"62";"7500";"240";"NO"
"61-65";"Leader A";"9400110";"62";"10000";"310";"NO"
"61-65";"Lord Pirate's Devoted Kru";"9300117";"62";"22800";"313";"NO"
"61-65";"Jr. Gargoyle";"9300026";"62";"15000";"430";"NO"
"61-65";"Jr. Gargoyle";"9300033";"62";"15000";"430";"NO"
"61-65";"Scholar Ghost";"6090003";"62";"6000";"3984";"SI"
"61-65";"???";"9300382";"63";"75000";"0";"NO"
"61-65";"Shapeshifter";"9300355";"63";"75000";"0";"SI"
"61-65";"Deep Buffoon";"9300321";"63";"9500";"7";"SI"
"61-65";"Puco";"6230101";"63";"20000";"190";"NO"
"61-65";"Officer Skeleton";"6230602";"63";"7500";"240";"NO"
"61-65";"Jr. Lucida ";"6230401";"63";"7600";"245";"NO"
"61-65";"Rurumo";"6090004";"63";"7600000";"245";"SI"
"61-65";"Soul Teddy";"6230400";"63";"7600";"245";"NO"
"61-65";"Slimy";"9420510";"63";"5800";"250";"NO"
"61-65";"Muscle Stone";"9300020";"63";"16000";"520";"NO"
"61-65";"Angry Lord Pirate";"9300105";"63";"480000";"8800";"SI"
"61-65";"Mr. Alli";"6130204";"64";"7800";"250";"NO"
"61-65";"Ice Drake";"9500126";"64";"7700";"250";"NO"
"61-65";"Ice Drake";"6230600";"64";"7700";"250";"NO"
"61-65";"Dark Pepe";"6230200";"64";"7800";"250";"NO"
"61-65";"Leader B";"9400111";"64";"9000";"320";"NO"
"61-65";"Lord Pirate's Devoted Captain";"9300118";"64";"28200";"378";"NO"
"61-65";"Separated Dark Pepe";"6230201";"64";"7800";"700";"NO"
"61-65";"Snow Witch";"6090001";"64";"7700";"10320";"SI"
"61-65";"Poison Golem";"9300176";"65";"21000";"0";"NO"
"61-65";"Poisoned Spright";"9300174";"65";"6500";"0";"NO"
"61-65";"Poison Golem";"9300180";"65";"63000";"0";"SI"
"61-65";"Lucida in Tower of Goddess";"9300044";"65";"3000";"0";"NO"
"61-65";"Poison Flower";"9300175";"65";"7500";"0";"NO"
"61-65";"Ghost Pirate";"9300322";"65";"10500";"8";"SI"
"61-65";"Zoo Yeti";"9500201";"65";"11000";"10";"SI"
"61-65";"Homun";"6110300";"65";"11000";"255";"NO"
"61-65";"Poisoned Stone Bug";"9300173";"65";"7200";"255";"NO"
"61-65";"Charmer";"9420534";"65";"9800";"255";"NO"
"61-65";"Yeti";"9300258";"65";"11000";"255";"NO"
"61-65";"Stone Bug";"9300247";"65";"6700";"255";"NO"
"61-65";"Yeti";"6300000";"65";"11000";"255";"NO"
"61-65";"Poison Golem Level 3";"9300178";"65";"6700";"255";"NO"
"61-65";"Homun of Closed Laboratory";"9300141";"65";"11000";"255";"NO"
"61-65";"Spright";"9300179";"65";"7500";"255";"NO"
"61-65";"Possessed Bear Doll";"9400652";"65";"10000";"300";"NO"
"61-65";"Possessed Rabbit Doll";"9400653";"65";"13000";"310";"NO"
"61-65";"Black Boogie";"9400008";"65";"7980";"325";"NO"
"61-65";"Transformed Yeti";"6300001";"65";"11000";"390";"NO"
"61-65";"Separated Yetti";"9200021";"65";"11000";"455";"NO"
"61-65";"Separated Yeti";"6300002";"65";"11000";"455";"NO"
"61-65";"Separated Yeti";"9500141";"65";"11000";"455";"NO"
"61-65";"Dyle";"9500346";"65";"31000";"810";"SI"
"61-65";"Dyle";"6220000";"65";"31000";"810";"SI"
"61-65";"Dyle";"9300194";"65";"31000";"810";"SI"
"61-65";"Dyle";"9500311";"65";"31000";"810";"SI"
"61-65";"Zeno";"9500347";"65";"36000";"940";"SI"
"61-65";"Zeno";"6220001";"65";"36000";"940";"SI"
"61-65";"Zeno";"9300197";"65";"36000";"940";"SI"
"61-65";"Master Muscle Stone";"9300019";"65";"40000";"1120";"NO"
"61-65";"Zombie Mushmom";"9300196";"65";"35000";"1500";"SI"
"61-65";"Zombie Mushmom";"6300005";"65";"35000";"1500";"SI"
"61-65";"Papa Pixie";"9300039";"65";"672000";"17000";"SI"
"61-65";"Papa Pixie";"9500351";"65";"672000";"17000";"SI"
"61-65";"Papa Pixie";"9300195";"65";"672000";"17000";"SI"
"66-70";"Mist Knight";"9300034";"66";"20000";"0";"NO"
"66-70";"Mist Knight";"9300037";"66";"22000";"100";"NO"
"66-70";"Black Knight";"9300036";"66";"22000";"100";"NO"
"66-70";"Pachu";"6300004";"66";"38000";"200";"SI"
"66-70";"Sage Cat";"6130209";"66";"9000";"255";"NO"
"66-70";"Sage Cat";"9300248";"66";"9000";"255";"NO"
"66-70";"Lazy Buffy";"6230300";"66";"9400";"260";"NO"
"66-70";"Black Knight";"9300022";"66";"40000";"1060";"NO"
"66-70";"Myst Knight";"9300023";"66";"40000";"1060";"NO"
"66-70";"Death Teddy ";"9300323";"67";"11500";"9";"SI"
"66-70";"Punco";"6300003";"67";"40000";"210";"NO"
"66-70";"Master Soul Teddy";"9500127";"67";"11000";"265";"NO"
"66-70";"Master Soul Teddy";"6230500";"67";"11000";"265";"NO"
"66-70";"Puppet Golem";"9300024";"67";"35000";"1100";"NO"
"66-70";"Kru";"9300080";"68";"13000";"265";"NO"
"66-70";"Kru";"9300241";"68";"12500";"265";"NO"
"66-70";"Dark Yeti";"9500128";"68";"13000";"265";"NO"
"66-70";"Saitie";"6110301";"68";"13000";"265";"NO"
"66-70";"Dark Drake";"6230601";"68";"13000";"265";"NO"
"66-70";"Dark Yeti";"6400000";"68";"13000";"265";"NO"
"66-70";"Kru";"6130208";"68";"12500";"265";"NO"
"66-70";"Jester Scarlion";"9420535";"68";"12000";"270";"NO"
"66-70";"Mr. Anchor";"9420512";"68";"11500";"275";"NO"
"66-70";"Transformed Dark Yeti";"6400001";"68";"13000";"445";"NO"
"66-70";"Separated Dark Yeti";"6400002";"68";"13000";"715";"NO"
"66-70";"Gargoyle";"9300025";"68";"35000";"1150";"NO"
"66-70";"Enraged Lord Pirate";"9300106";"68";"540000";"12000";"SI"
"66-70";"Bamboo Warrior";"6090002";"68";"86890";"17000";"SI"
"66-70";"Viking";"9300324";"69";"12500";"10";"SI"
"66-70";"Cuzco";"6400003";"69";"60000";"240";"NO"
"66-70";"Zeta Gray";"9300104";"70";"4500";"0";"NO"
"66-70";"Juliet";"9300137";"70";"30000";"0";"NO"
"66-70";"Kitty from Cheese Storage";"9500324";"70";"5000000";"0";"SI"
"66-70";"P Junior";"9500336";"70";"50000000";"0";"SI"
"66-70";"Romeo";"9300138";"70";"30000";"0";"NO"
"66-70";"Kitty from Cheese Storage";"9500323";"70";"5000000";"0";"SI"
"66-70";"Barnard Gray";"9300103";"70";"4500";"0";"NO"
"66-70";"Tamable Hog";"9300101";"70";"200";"0";"NO"
"66-70";"Watchhog";"9300102";"70";"24000";"0";"NO"
"66-70";"Opachu";"6400004";"70";"80000";"250";"SI"
"66-70";"Giant Snowman";"9500319";"70";"6000";"270";"SI"
"66-70";"Klock";"8140200";"70";"15000";"270";"NO"
"66-70";"Tauromacis";"9300249";"70";"15000";"270";"NO"
"66-70";"Rash";"7130500";"70";"14500";"270";"NO"
"66-70";"Taurospear";"9500129";"70";"15000";"270";"NO"
"66-70";"Tauromacis";"7130100";"70";"15000";"270";"NO"
"66-70";"Yeti and Coketump";"9500147";"70";"20000";"272";"NO"
"66-70";"Giant Cake";"9400606";"70";"13000";"280";"SI"
"66-70";"Captain";"9300242";"70";"15000";"282";"NO"
"66-70";"Captain";"7130104";"70";"15000";"282";"NO"
"66-70";"Gatekeeper Nex";"7120100";"70";"90000";"330";"SI"
"66-70";"Red Slime";"7120103";"70";"15000";"338";"NO"
"66-70";"Blue King Goblin";"9500130";"70";"25000";"400";"SI"
"66-70";"Green King Goblin";"9500160";"70";"25000";"400";"SI"
"66-70";"Yellow King Goblin";"7130400";"70";"25000";"400";"SI"
"66-70";"Yellow King Goblin";"9500158";"70";"25000";"400";"SI"
"66-70";"Blue King Goblin";"9500159";"70";"25000";"400";"SI"
"66-70";"Green King Goblin";"7130402";"70";"25000";"400";"SI"
"66-70";"Blue King Goblin";"7130401";"70";"25000";"400";"SI"
"66-70";"Windraider";"9400576";"70";"16000";"800";"NO"
"66-70";"Witch Bear";"9300373";"70";"31000";"810";"SI"
"66-70";"Nine-Tailed Fox";"9500312";"70";"89000";"1300";"SI"
"66-70";"Nine-Tailed Fox";"9500348";"70";"89000";"1300";"SI"
"66-70";"Nine-Tailed Fox";"7220001";"70";"89000";"1300";"SI"
"66-70";"Nine-Tailed Fox";"9300199";"70";"89000";"1300";"SI"
"66-70";"Twisted Jester";"9400640";"70";"50000";"1325";"NO"
"66-70";"Cross (Hard)";"9400321";"70";"89000";"1500";"SI"
"66-70";"Peeking Lord Pirate";"9300107";"70";"300000";"4000";"SI"
"66-70";"Olivia";"9400643";"70";"810000";"11200";"SI"
"66-70";"Event Pink Bean";"9400654";"70";"150000000";"30000";"SI"
"66-70";"Event Pink Bean";"9400632";"70";"2000000";"30000";"SI"
"71-75";"High Darkstar";"8500003";"71";"10000";"0";"SI"
"71-75";"High Darkstar";"9300266";"71";"10000";"0";"SI"
"71-75";"Silver Slime";"7120104";"71";"15100";"346";"NO"
"71-75";"Tae Roon";"9300200";"71";"93000";"1580";"SI"
"71-75";"Tae Roon";"9500350";"71";"93000";"1580";"SI"
"71-75";"Tae Roon";"9500313";"71";"93000";"1580";"SI"
"71-75";"Tae Roon";"9300268";"71";"93000";"1580";"SI"
"71-75";"Tae Roon";"7220000";"71";"93000";"1580";"SI"
"71-75";"Cerebes";"7130001";"72";"15200";"295";"NO"
"71-75";"Hobi";"7130600";"72";"15000";"295";"NO"
"71-75";"Beetle";"7130002";"72";"15200";"295";"NO"
"71-75";"Froscola";"9420536";"72";"15200";"300";"NO"
"71-75";"Gold Slime  ";"7120105";"72";"15200";"354";"NO"
"71-75";"Extra D";"9400103";"72";"15100";"465";"NO"
"71-75";"Tauromacis (JP)";"9400218";"73";"16000";"270";"NO"
"71-75";"Reinforced Iron Mutae";"9300143";"73";"20000";"300";"NO"
"71-75";"Reinforced Iron Mutae";"9300254";"73";"20000";"300";"NO"
"71-75";"Commander Skeleton";"7130103";"73";"15300";"315";"NO"
"71-75";"Lucida";"9500131";"73";"15500";"320";"NO"
"71-75";"Lucida";"9300251";"73";"15500";"320";"NO"
"71-75";"Homunculu of hidden laboratory";"9300142";"73";"15500";"320";"NO"
"71-75";"Lucida";"7130000";"73";"15500";"320";"NO"
"71-75";"Homunculus";"7110301";"73";"15500";"320";"NO"
"71-75";"Gatekeeper Nex";"7120101";"73";"102000";"330";"SI"
"71-75";"Homun";"9300145";"74";"33000";"330";"NO"
"71-75";"Buffoon";"6300100";"74";"16000";"340";"NO"
"71-75";"Dark Rash";"7130501";"74";"15500";"340";"NO"
"71-75";"Riche";"6090000";"74";"11000";"25000";"SI"
"71-75";"Charged Poison Golem";"9300181";"75";"83000";"0";"SI"
"71-75";"Bloody Boom";"8510100";"75";"10000";"0";"SI"
"71-75";"Crimson Tree";"9400586";"75";"3500";"122";"NO"
"71-75";"Crimson Tree";"9400585";"75";"3500";"122";"NO"
"71-75";"Overlord A";"7120106";"75";"15000";"330";"NO"
"71-75";"Overlord B";"7120107";"75";"15000";"330";"NO"
"71-75";"Taurospear";"7130101";"75";"18000";"350";"NO"
"71-75";"Werewolf";"9500132";"75";"16000";"350";"NO"
"71-75";"The Charging Taurospear";"9300087";"75";"18000";"350";"NO"
"71-75";"Taurospear";"9300250";"75";"18000";"350";"NO"
"71-75";"Werewolf";"7130200";"75";"16000";"350";"NO"
"71-75";"D. Roy";"7110300";"75";"16000";"350";"NO"
"71-75";"Security Camera";"7090000";"75";"150000";"350";"SI"
"71-75";"Yabber Doo";"9420537";"75";"15800";"352";"NO"
"76-80";"Thorny Vine";"7130602";"76";"8000";"0";"SI"
"76-80";"Cyti";"9300146";"76";"38000";"360";"NO"
"76-80";"Green Hobi";"7130601";"76";"18000";"370";"NO"
"76-80";"Dark Klock";"8140300";"76";"18000";"370";"NO"
"76-80";"Dual Beetle";"7130003";"76";"18000";"370";"NO"
"76-80";"Bergamot";"7220003";"77";"40000";"0";"SI"
"76-80";"Bergamot";"7220004";"77";"65000";"0";"SI"
"76-80";"Homunculus";"9300147";"77";"20000";"320";"NO"
"76-80";"Gatekeeper Nex";"7120102";"77";"114000";"330";"SI"
"76-80";"Deep Buffoon";"6400100";"77";"19000";"385";"NO"
"76-80";"Robby";"7120108";"77";"19000";"462";"NO"
"76-80";"King Sage Cat";"9500352";"77";"108000";"2280";"SI"
"76-80";"King Sage Cat";"9500314";"77";"108000";"2280";"SI"
"76-80";"King Sage Cat";"9300202";"77";"108000";"2280";"SI"
"76-80";"King Sage Cat";"7220002";"77";"108000";"2280";"SI"
"76-80";"Bergamot";"7220005";"77";"40000";"3000";"SI"
"76-80";"Yeti and Pepe";"7130102";"78";"20000";"0";"NO"
"76-80";"Yetti & Pepe";"9200020";"78";"20000";"0";"NO"
"76-80";"Yeti and Pepe";"9500133";"78";"20000";"0";"NO"
"76-80";"Roid";"9300149";"78";"29000";"295";"NO"
